ID汉Link汉Data_lei汉Data_publicação汉Tipo_lei汉Setor汉Revogada
701212020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0040-2020_ato_normativo_21092020_20200923091523.pdf汉汉 20/04/2020汉701汉ANA汉True
701202020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0051-2020_ato_normativo_03122020_20201204081355.pdf汉汉 20/04/2020汉701汉ANA汉True
701182020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0059-2020_ato_normativo_31122020_20210104082128.pdf汉汉 15/04/2020汉701汉ANA汉True
701172020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0039-2020_ato_normativo__20200918091929.pdf汉汉 30/03/2020汉701汉ANA汉True
701112020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0017-2020_ato_normativo.pdf汉汉 10/03/2020汉701汉ANA汉True
70162020汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2020/0047-2020_ato_normativo_26102020_20201109082927.pdf汉汉 17/02/2020汉701汉ANA汉True
7011252019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0074-2019_ato_normativo.pdf汉汉 23/12/2019汉701汉ANA汉True
7011242019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0062-2019_ato_normativo.pdf汉汉 16/12/2019汉701汉ANA汉True
7011232019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0064-2019_ato_normativo.pdf汉汉 16/12/2019汉701汉ANA汉True
7011222019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0056-2019_ato_normativo.pdf汉汉 16/12/2019汉701汉ANA汉True
7011012019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0065-2019_ato_normativo.pdf汉汉 02/12/2019汉701汉ANA汉True
701782019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0061-2019_ato_normativo.pdf汉汉 25/09/2019汉701汉ANA汉True
701742019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0060-2019_ato_normativo.pdf汉汉 25/09/2019汉701汉ANA汉True
701732019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/outorgas/0067-2019_outorga_de_direito_de_uso.pdf汉汉 25/09/2019汉701汉ANA汉True
701672019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0058-2019_ato_normativo.pdf汉汉 09/09/2019汉701汉ANA汉True
701662019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0073-2019_ato_normativo.pdf汉汉 09/09/2019汉701汉ANA汉True
701652019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0124-2019_ato_normativo.pdf汉汉 09/09/2019汉701汉ANA汉True
701642019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0011-2019_ato_normativo__20201221164318__alteracao.pdf汉汉 09/09/2019汉701汉ANA汉True
701622019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0015-2019_ato_normativo.pdf汉汉 02/09/2019汉701汉ANA汉True
701612019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0043-2019_ato_normativo.pdf汉汉 02/09/2019汉701汉ANA汉True
701602019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/analegis/0049-2019_ato_normativo__legis.pdf汉汉 02/09/2019汉701汉ANA汉True
701592019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0059-2019_ato_normativo.pdf汉汉 02/09/2019汉701汉ANA汉True
701582019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/analegis/0101-2019_ato_normativo__legis.pdf汉汉 02/09/2019汉701汉ANA汉True
701562019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0125-2019_ato_normativo_23122019_20201106111124__alteracao.pdf汉汉 02/09/2019汉701汉ANA汉True
701492019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0066-2019_ato_normativo.pdf汉汉 05/08/2019汉701汉ANA汉True
701432019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0122-2019_ato_normativo.pdf汉汉 15/07/2019汉701汉ANA汉True
701152019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0123-2019_ato_normativo.pdf汉汉 11/03/2019汉701汉ANA汉True
701112019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/analegis/0078-2019_ato_normativo__legis.pdf汉汉 18/02/2019汉701汉ANA汉True
70162019汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2019/0006-2019_ato_normativo.pdf汉汉 04/02/2019汉701汉ANA汉True
7011012018汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2018/0020-2018_ato_normativo.pdf汉汉 26/12/2018汉701汉ANA汉True
7011002018汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2018/0073-2018_ato_normativo.pdf汉汉 26/12/2018汉701汉ANA汉True
701992018汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2018/0087-2018_resolucao_conjunta_com_outras_instituicoes__20201015085929__alteracao.pdf汉汉 10/12/2018汉701汉ANA汉True
701982018汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2018/0005-2018_ato_normativo.pdf汉汉 10/12/2018汉701汉ANA汉True
701962018汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2018/0091-2018_ato_normativo.pdf汉汉 04/12/2018汉701汉ANA汉True
701912018汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2018/0068-2018_ato_normativo.pdf汉汉 26/11/2018汉701汉ANA汉True
701872018汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2018/analegis/0010-2018_ato_normativo__legis.pdf汉汉 05/11/2018汉701汉ANA汉True
701862018汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2018/0065-2018_ato_normativo.pdf汉汉 29/10/2018汉701汉ANA汉True
701852018汉https://arquivos.ana.gov.br/_viewpdf/web/?file=/resolucoes/2018/0067-2018_ato_normativo.pdf汉汉 29/10/2018汉701汉ANA汉True
